CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,Gender_Male,Balance_to_Salary_Ratio,Credit_to_Salary_Ratio,Age_to_Tenure_Ratio,Products_per_Tenure,IsHighValueCustomer,IsLongTermCustomer,HasMultipleProducts,IsYoungInactive,IsOldInactive,CustomerSegment,SegmentName,ChurnProbability,RiskLevel,RiskLevelNumeric
619,42,2,0.0,1,1,1,101348.88,1,False,False,False,0.0,0.006107555332083274,14.0,0.3333333333333333,0,0,0,0,0,0,Young Professionals,0.5102052416729561,High Risk,2
608,41,1,83807.86,1,0,1,112542.58,0,False,True,False,0.7446702868346644,0.005402351693450661,20.5,0.5,0,0,0,0,0,0,Young Professionals,0.10759401034471931,Low Risk,0
502,42,8,159660.8,3,1,0,113931.57,1,False,False,False,1.401362226797833,0.00440611495027278,4.666666666666667,0.3333333333333333,1,1,1,0,0,1,Established Savers,0.9848453408243844,Very High Risk,3
699,39,1,0.0,2,0,0,93826.63,0,False,False,False,0.0,0.007449831142489691,19.5,1.0,0,0,1,0,0,1,Established Savers,0.03488527243731473,Low Risk,0
850,43,2,125510.82,1,1,1,79084.1,0,False,True,False,1.5870349787760274,0.010747915852670098,14.333333333333334,0.3333333333333333,0,0,0,0,0,0,Young Professionals,0.008350158028229597,Low Risk,0
645,44,8,113755.78,2,1,0,149756.71,1,False,True,True,0.7595988213227887,0.0043069568838893174,4.888888888888889,0.2222222222222222,1,1,1,0,0,2,High-Value Clients,0.595893941590635,High Risk,2
822,50,7,0.0,2,1,1,10062.8,0,False,False,True,0.0,0.08167888869015681,6.25,0.25,0,1,1,0,0,1,Established Savers,0.028990546711517007,Low Risk,0
376,29,4,115046.74,4,1,0,119346.88,1,True,False,False,0.9639613204692031,0.00315045395025031,5.8,0.8,1,0,1,1,0,1,Established Savers,0.9986513925983,Very High Risk,3
501,44,4,142051.07,2,0,1,74940.5,0,False,False,True,1.8954927510124564,0.006685214467284482,8.8,0.4,0,0,1,0,0,0,Young Professionals,0.05080434240723284,Low Risk,0
684,27,2,134603.88,1,1,1,71725.73,0,False,False,True,1.8766208915421072,0.009536193828995133,9.0,0.3333333333333333,0,0,0,0,0,0,Young Professionals,0.05561309022970804,Low Risk,0
528,31,6,102016.72,2,0,0,80181.12,0,False,False,True,1.2723125804106952,0.006585009226495882,4.428571428571429,0.2857142857142857,0,1,1,0,0,2,High-Value Clients,0.0150293560151716,Low Risk,0
497,24,3,0.0,2,1,0,76390.01,0,False,True,True,0.0,0.006506001164273126,6.0,0.5,0,0,1,1,0,1,Established Savers,0.007638568959928949,Low Risk,0
476,34,10,0.0,2,1,0,26260.98,0,False,False,False,0.0,0.018125061400549387,3.090909090909091,0.18181818181818182,0,1,1,0,0,1,Established Savers,0.003745432611231266,Low Risk,0
549,25,5,0.0,2,0,0,190857.79,0,False,False,False,0.0,0.0028764721813441235,4.166666666666667,0.3333333333333333,0,0,1,1,0,1,Established Savers,0.02049314921678413,Low Risk,0
635,35,7,0.0,2,1,1,65951.65,0,False,True,False,0.0,0.009628119567598877,4.375,0.25,0,1,1,0,0,1,Established Savers,0.011843618442894416,Low Risk,0
616,45,3,143129.41,2,0,1,64327.26,0,True,False,True,2.224984944408569,0.009575884688937646,11.25,0.5,0,0,1,0,0,0,Young Professionals,0.06098120867758617,Low Risk,0
